Crime,MonthYear,SumValue
Drug Offences,2019-03,4436
Drug Offences,2019-04,3715
Drug Offences,2019-05,3936
Drug Offences,2019-06,4114
Drug Offences,2019-07,4589
Drug Offences,2019-08,4868
Drug Offences,2019-09,4018
Drug Offences,2019-10,4010
Drug Offences,2019-11,4059
Drug Offences,2019-12,3512
Drug Offences,2020-01,4731
Drug Offences,2020-02,4232
Drug Offences,2020-03,4014
Drug Offences,2020-04,5406
Drug Offences,2020-05,6886
Drug Offences,2020-06,5057
Drug Offences,2020-07,4996
Drug Offences,2020-08,3887
Drug Offences,2020-09,3853
Drug Offences,2020-10,4439
Drug Offences,2020-11,4759
Drug Offences,2020-12,3936
Drug Offences,2021-01,4049
Drug Offences,2021-02,4391
Drug Offences,2021-03,4490
Drug Offences,2021-04,4100
Drug Offences,2021-05,3747
Drug Offences,2021-06,3528
Drug Offences,2021-07,3570
Drug Offences,2021-08,3509
Drug Offences,2021-09,3258
Drug Offences,2021-10,3988
Drug Offences,2021-11,3920
Drug Offences,2021-12,3506
Drug Offences,2022-01,4331
Drug Offences,2022-02,3783
Drug Offences,2022-03,3973
Violence Against Person,2019-03,18742
Violence Against Person,2019-04,17545
Violence Against Person,2019-05,18897
Violence Against Person,2019-06,19059
Violence Against Person,2019-07,20326
Violence Against Person,2019-08,18649
Violence Against Person,2019-09,18492
Violence Against Person,2019-10,18934
Violence Against Person,2019-11,18938
Violence Against Person,2019-12,18271
Violence Against Person,2020-01,18086
Violence Against Person,2020-02,17296
Violence Against Person,2020-03,17676
Violence Against Person,2020-04,15482
Violence Against Person,2020-05,17859
Violence Against Person,2020-06,19115
Violence Against Person,2020-07,20370
Violence Against Person,2020-08,20610
Violence Against Person,2020-09,19713
Violence Against Person,2020-10,18779
Violence Against Person,2020-11,18282
Violence Against Person,2020-12,17357
Violence Against Person,2021-01,15831
Violence Against Person,2021-02,15669
Violence Against Person,2021-03,19005
Violence Against Person,2021-04,18846
Violence Against Person,2021-05,21182
Violence Against Person,2021-06,21308
Violence Against Person,2021-07,21720
Violence Against Person,2021-08,19263
Violence Against Person,2021-09,20409
Violence Against Person,2021-10,21192
Violence Against Person,2021-11,20481
Violence Against Person,2021-12,19186
Violence Against Person,2022-01,19208
Violence Against Person,2022-02,18811
Violence Against Person,2022-03,20765
Theft,2019-03,21525
Theft,2019-04,21689
Theft,2019-05,21876
Theft,2019-06,21280
Theft,2019-07,22916
Theft,2019-08,21055
Theft,2019-09,20014
Theft,2019-10,22387
Theft,2019-11,21387
Theft,2019-12,20325
Theft,2020-01,18970
Theft,2020-02,19872
Theft,2020-03,15014
Theft,2020-04,7301
Theft,2020-05,8980
Theft,2020-06,11515
Theft,2020-07,15241
Theft,2020-08,16255
Theft,2020-09,16733
Theft,2020-10,17005
Theft,2020-11,13060
Theft,2020-12,13425
Theft,2021-01,9632
Theft,2021-02,9507
Theft,2021-03,11535
Theft,2021-04,13243
Theft,2021-05,15012
Theft,2021-06,16320
Theft,2021-07,17073
Theft,2021-08,16635
Theft,2021-09,17298
Theft,2021-10,19738
Theft,2021-11,19361
Theft,2021-12,17321
Theft,2022-01,16705
Theft,2022-02,17172
Theft,2022-03,19661
Sexual Offences,2019-03,1709
Sexual Offences,2019-04,1596
Sexual Offences,2019-05,1703
Sexual Offences,2019-06,1831
Sexual Offences,2019-07,1854
Sexual Offences,2019-08,1557
Sexual Offences,2019-09,1611
Sexual Offences,2019-10,1678
Sexual Offences,2019-11,1756
Sexual Offences,2019-12,1530
Sexual Offences,2020-01,1714
Sexual Offences,2020-02,1804
Sexual Offences,2020-03,1545
Sexual Offences,2020-04,995
Sexual Offences,2020-05,1280
Sexual Offences,2020-06,1532
Sexual Offences,2020-07,1802
Sexual Offences,2020-08,1707
Sexual Offences,2020-09,1702
Sexual Offences,2020-10,1752
Sexual Offences,2020-11,1634
Sexual Offences,2020-12,1376
Sexual Offences,2021-01,1330
Sexual Offences,2021-02,1415
Sexual Offences,2021-03,2117
Sexual Offences,2021-04,1824
Sexual Offences,2021-05,2079
Sexual Offences,2021-06,2247
Sexual Offences,2021-07,2152
Sexual Offences,2021-08,1854
Sexual Offences,2021-09,2191
Sexual Offences,2021-10,2415
Sexual Offences,2021-11,2312
Sexual Offences,2021-12,1834
Sexual Offences,2022-01,2013
Sexual Offences,2022-02,1981
Sexual Offences,2022-03,2283
Vehicle Offences,2019-03,10813
Vehicle Offences,2019-04,10308
Vehicle Offences,2019-05,10075
Vehicle Offences,2019-06,10066
Vehicle Offences,2019-07,10539
Vehicle Offences,2019-08,10498
Vehicle Offences,2019-09,11633
Vehicle Offences,2019-10,12327
Vehicle Offences,2019-11,11404
Vehicle Offences,2019-12,10990
Vehicle Offences,2020-01,12097
Vehicle Offences,2020-02,10786
Vehicle Offences,2020-03,9598
Vehicle Offences,2020-04,6346
Vehicle Offences,2020-05,7278
Vehicle Offences,2020-06,8112
Vehicle Offences,2020-07,9028
Vehicle Offences,2020-08,8937
Vehicle Offences,2020-09,10215
Vehicle Offences,2020-10,10690
Vehicle Offences,2020-11,9203
Vehicle Offences,2020-12,7749
Vehicle Offences,2021-01,7673
Vehicle Offences,2021-02,7632
Vehicle Offences,2021-03,8338
Vehicle Offences,2021-04,7121
Vehicle Offences,2021-05,7833
Vehicle Offences,2021-06,8133
Vehicle Offences,2021-07,7971
Vehicle Offences,2021-08,8831
Vehicle Offences,2021-09,9180
Vehicle Offences,2021-10,9648
Vehicle Offences,2021-11,9783
Vehicle Offences,2021-12,8759
Vehicle Offences,2022-01,9201
Vehicle Offences,2022-02,8216
Vehicle Offences,2022-03,9268
